Time,Battery_SOC
0,65.2261
0.1,97.4093
0.2,97.2856
0.3,97.1534
0.4,97.0187
0.5,96.8869
0.6,96.762
0.7,96.6464
0.8,96.5418
0.9,96.4485
1,96.3662
1.1,96.2942
1.2,96.2317
1.3,96.1775
1.4,96.1305
1.5,96.0899
1.6,96.0546
1.7,96.0239
1.8,95.997
1.9,95.9735
2,95.9527
2.1,95.9342
2.2,95.9178
2.3,95.903
2.4,95.8896
2.5,95.8775
2.6,95.8664
2.7,95.8562
2.8,95.8468
2.9,95.8381
3,95.8299
3.1,95.8223
3.2,95.8152
3.3,95.8084
3.4,95.8021
3.5,95.7961
3.6,95.7904
3.7,95.7849
3.8,95.7798
3.9,95.7749
4,95.7702
4.1,95.7657
4.2,95.7614
4.3,95.7573
4.4,95.7534
4.5,95.7496
4.6,95.746
4.7,95.7425
4.8,95.7392
4.9,95.736
5,95.7329
5.1,95.7299
5.2,95.727
5.3,95.7243
5.4,95.7216
5.5,95.719
5.6,95.7165
5.7,95.714
5.8,95.7117
5.9,95.7094
6,95.7072
6.1,95.705
6.2,95.7029
6.3,95.7009
6.4,95.6989
6.5,95.6969
6.6,95.695
6.7,95.6932
6.8,95.6914
6.9,95.6896
7,95.6878
7.1,95.6861
7.2,95.6845
7.3,95.6828
7.4,95.6812
7.5,95.6796
7.6,95.678
7.7,95.6765
7.8,95.675
7.9,95.6735
8,95.672
8.1,95.6706
8.2,95.6691
8.3,95.6677
8.4,95.6663
8.5,95.6649
8.6,95.6635
8.7,95.6621
8.8,95.6608
8.9,95.6595
9,95.6581
9.1,95.6568
9.2,95.6555
9.3,95.6542
9.4,95.6529
9.5,95.6516
9.6,95.6503
9.7,95.6491
9.8,95.6478
9.9,95.6466
10,95.6453
10.1,95.6441
10.2,95.6428
10.3,95.6416
10.4,95.6404
10.5,95.6392
10.6,95.638
10.7,95.6367
10.8,95.6355
10.9,95.6343
11,95.6331
11.1,95.6653
11.2,95.7342
11.3,95.8457
11.4,96.0093
11.5,96.2351
11.6,96.5288
11.7,96.8849
11.8,97.2821
11.9,97.686
12,98.0604
12.1,98.3807
12.2,98.6385
12.3,98.8376
12.4,98.988
12.5,99.1006
12.6,99.1849
12.7,99.2486
12.8,99.2973
12.9,99.3348
13,99.3642
13.1,99.3875
13.2,99.4063
13.3,99.4215
13.4,99.434
13.5,99.4444
13.6,99.4532
13.7,99.4606
13.8,99.467
13.9,99.4725
14,99.4774
14.1,99.4816
14.2,99.4854
14.3,99.4887
14.4,99.4917
14.5,99.4944
14.6,99.4969
14.7,99.4992
14.8,99.5012
14.9,99.5031
15,99.5048
15.1,99.5064
15.2,99.5079
15.3,99.5093
15.4,99.5106
15.5,99.5117
15.6,99.5128
15.7,99.5138
15.8,99.5148
15.9,99.5156
16,99.5164
16.1,99.5171
16.2,99.5178
16.3,99.5184
16.4,99.519
16.5,99.5195
16.6,99.5199
16.7,99.5203
16.8,99.5206
16.9,99.5209
17,99.5212
17.1,99.5214
17.2,99.5216
17.3,99.5217
17.4,99.5218
17.5,99.5218
17.6,99.5218
17.7,99.5218
17.8,99.5217
17.9,99.5216
18,99.5214
18.1,99.5213
18.2,99.5211
18.3,99.5208
18.4,99.5206
18.5,99.5203
18.6,99.5199
18.7,99.5196
18.8,99.5192
18.9,99.5188
19,99.5183
19.1,99.5178
19.2,99.5173
19.3,99.5168
19.4,99.5163
19.5,99.5157
19.6,99.5151
19.7,99.5145
19.8,99.5139
19.9,99.5132
20,99.5125
20.1,99.5118
20.2,99.5111
20.3,99.5103
20.4,99.5096
20.5,99.5088
20.6,99.508
20.7,99.5072
20.8,99.5063
20.9,99.5055
21,99.5046
21.1,99.5037
21.2,99.5028
21.3,99.5019
21.4,99.501
21.5,99.5
21.6,99.4991
21.7,99.4981
21.8,99.4971
21.9,99.4961
22,99.4951
22.1,99.494
22.2,99.493
22.3,99.4919
22.4,99.4909
22.5,99.4898
22.6,99.4887
22.7,99.4876
22.8,99.4865
22.9,99.4853
23,99.4842
23.1,99.483
23.2,99.4819
23.3,99.4807
23.4,99.4795
23.5,99.4784
23.6,99.4772
23.7,99.476
23.8,99.4747
23.9,99.4735
24,99.4723
24.1,99.471
24.2,99.4698
24.3,99.4685
24.4,99.4673
24.5,99.466
24.6,99.4647
24.7,99.4635
24.8,99.4622
24.9,99.4609
25,99.4596
25.1,99.4582
25.2,99.4569
25.3,99.4556
25.4,99.4543
25.5,99.4529
25.6,99.4516
25.7,99.4503
25.8,99.4489
25.9,99.4475
26,99.4462
26.1,99.4448
26.2,99.4434
26.3,99.4421
26.4,99.4407
26.5,99.4393
26.6,99.4379
26.7,99.4365
26.8,99.4351
26.9,99.4337
27,99.4323
27.1,99.4309
27.2,99.4295
27.3,99.4281
27.4,99.4266
27.5,99.4252
27.6,99.4238
27.7,99.4224
27.8,99.4209
27.9,99.4195
28,99.418
28.1,99.4166
28.2,99.4151
28.3,99.4137
28.4,99.4122
28.5,99.4108
28.6,99.4093
28.7,99.4079
28.8,99.4064
28.9,99.4049
29,99.4034
29.1,99.402
29.2,99.4005
29.3,99.399
29.4,99.3975
29.5,99.3961
29.6,99.3946
29.7,99.3931
29.8,99.3916
29.9,99.3901
